1,Michael,SMITH,64,computer science,Cis123,US9a%}.%(d§SSpnVQ>PwW?DAUyvCp{qRP.q$N*@{rQ2.D*h^P4?Ar9D?F?Axv7uP6*PgkvEW(s@Rq@?9/Pd$v!L2/ebur!Y/dxMr9hvF4@t*r^9e%$Q4%Ptz}d4P/z>sU-121-89-61-97-59-30,1-08/12/2022-3-continue the hard work&3-08/12/2022-75-continue the hard work&1-08/12/2022-3-continue the hard work&3-08/12/2022-75-continue the hard work
2,Christopher,JOHNSON,17,computer science,Cis124,g4P>YPVf/sNnV)2.zUU*rU$YSrBYr.Pd*%rvv{6♫E2.pP)sQYNEZy.tZGbqs9.2?>U_)Fkz§4♫r3sVFNEypz?z@f>.uPty§z)U/@EVL2rqrPF§pvUF}arb4srAks9$e$v-75-95-7-126-38-90,0-08/12/2022-96-continue the hard work&5-08/12/2022-80-continue the hard work&0-08/12/2022-96-continue the hard work&5-08/12/2022-80-continue the hard work
3,Jessica,WILLIAMS,54,computer science,Cis125,UqP%DY>/Dg?/Wd.YKYsPvRbU{/anb§DyGW%{?@SASsFwbK.ejd@Sgb%hbPDGkc44%@*hbr9bUrgb?guQk@VK4yUpbQWr♞PUG.kQ7U$♞QB!f!Y4PRFUVn>4s2s)QPd/Q4F-99-62-97-61-118-48,0-08/12/2022-22-continue the hard work&2-08/12/2022-24-continue the hard work&0-08/12/2022-22-continue the hard work&2-08/12/2022-24-continue the hard work
4,Matthew,JONES,53,computer science,Cis126,*p3t49♫@VSMKvKbC}47t@8*eP(R?aW?2VD{9qQM)♫n{?rah9?gZqQ*%F!$gv.@♞L@k}{9SSQ{b}sEdtq}QrQUWYC.n.4>Wv4NYg@2s9fw9D?Kz*K@DYQVSyPkD.Uk%}t.-18-23-41-46-2-21,4-08/12/2022-48-continue the hard work&1-08/12/2022-52-continue the hard work&4-08/12/2022-48-continue the hard work&1-08/12/2022-52-continue the hard work
5,Ashley,BROWN,64,computer science,Cis127,z@dn>P^V9Q/PP.U?Bs@pyxWKRV4WP/bYUB)W*G?Q?}Pbd4^^SCDdgDM>psF!f@r!D.UQr*bd9v4tZEhrUtv2bE?@U@dr6rzr>s{rQ_F!R/U.{62tU{pPvbLPWynQ@aRD%-93-21-92-52-95-125,6-08/12/2022-72-continue the hard work&6-08/12/2022-49-continue the hard work&6-08/12/2022-72-continue the hard work&6-08/12/2022-49-continue the hard work
6,Jennifer,DAVIS,62,computer science,Cis134,^u{U%}k_QF6♫kKy{y}$4h{Q/%@Vv)?B@eSEP/uK?BaLfRD4dUB)6)zBwP?5.Yz?QQLvVGUZyP$>dY.rFP{V/R§Sg*KvdD2QQF?49.§?r^nzE§V§saBuPdsh9Ep@yY!2B*-41-51-1-32-58-87,6-08/12/2022-99-continue the hard work&4-07/12/2022-21-continue the hard work&6-08/12/2022-99-continue the hard work&4-07/12/2022-21-continue the hard work
7,Joshua,MILLER,73,computer science,Cis135,fP6q2YFuLhaPrL}?ZK{Y%*2eU!})4gPss*Qv/YUb9@^}?LU(9AArUv?hUBvD5bMp?k*enYYUGvNPdE!e4}+Zd_n/rEvrd?CUkPd?>@SU?Z*vvQ@!e/Km^9.EYsPQMrEPU-108-2-55-9-115-60,3-08/12/2022-92-continue the hard work&5-07/12/2022-57-continue the hard work&3-08/12/2022-92-continue the hard work&5-07/12/2022-57-continue the hard work
8,Amanda,WILSON,22,computer science,Cis136,We5dQF9@VM)4$t/{@C*Wz?4Z2Y+WYbN$44Q♞Qn§kzV6D.)N%PzuUdrP§r^?^wYUfY*U♫U)*NMeP.N.Mt4vGFs>4*.$?Ugz2bsS%.P?$r4Y/z{Dpvq(9pr2)w^R(..>v*_-1-24-86-126-116-2,2-08/12/2022-95-continue the hard work&5-07/12/2022-57-continue the hard work&2-08/12/2022-95-continue the hard work&5-07/12/2022-57-continue the hard work
9,Daniel,MOORE,49,computer science,Cis137,?br9F_26}v2/z9bV@DrbPCb){V36?aS*bv$t/_Y@d?j4dEh.@ry{b@bLtpyrk%YzZvGSqf@4zW♞2bSGp6n?Yb82bRbZLDZPS*@EkdCdQUg!k/C6+2UZWss@vPW2avQNM2-75-56-85-65-26-42,5-08/12/2022-63-continue the hard work&6-07/12/2022-35-continue the hard work&5-08/12/2022-63-continue the hard work&6-07/12/2022-35-continue the hard work
10,David,TAYLOR,67,computer science,Cis145,2?.9$}K.Gp4vD.deK?D?9.r4Z4$?vrde^2qQqK4d{99>%SY?N.+B@rQ%Dr6dWsqGdhGt/fZu@W_rn}>qvb{wB@UKQ.F.BQ4YkQ2}kQ.zsSEk4%>)t/*9_aKPgF@♫S(tSQ-3-81-79-126-9-120,4-08/12/2022-21-continue the hard work&6-07/12/2022-28-continue the hard work&4-08/12/2022-21-continue the hard work&6-07/12/2022-28-continue the hard work
11,James,ANDERSON,75,computer science,Cis146,hs4Wb>7?nYehQUSAb>FS4Q?{+g>q429S*@)EQvyt@L?WSrhUrY9bZVQUd^62_U.Y>!Qr@?by4/bePnSBRQbn2@zv?Z?>V*@*2QFtb.WB*bKQSC4UDhWzrWWSn)?2be^Nu-1-6-125-8-124-25,2-07/12/2022-94-continue the hard work&0-07/12/2022-30-continue the hard work&2-07/12/2022-94-continue the hard work&0-07/12/2022-30-continue the hard work
12,Robert,THOMAS,46,computer science,Cis147,?4S.n9aB)FY.b{QVbMn*♫Y@Q8§{fz@QL*gYnffU@gWU_DtPR/jb))t%YK@*^p{R♞AK%q+hG}S9U9kzMDtB{PB)R@SCf9g@Z%v/PRQ4DkAB)fSdb9VS(?v@g)KK4G()s*P-24-90-49-126-92-116,2-07/12/2022-35-continue the hard work&1-07/12/2022-39-continue the hard work&2-07/12/2022-35-continue the hard work&1-07/12/2022-39-continue the hard work
13,John,JACKSON,63,computer science,Cis156,Qu{vB*a4*9U@yvsA!{PBKVSPs((_ruQQ>}PVtSVPNNDa9FDvQU>d.EFy♞rtLqM2.Qbvd>4k/DQRw§tBr9UES/r!%cKbYnB9PUD>4{D4r4ur{/5QUV2QCPZ?@PZd2%62Bd-6-77-75-109-88-62,6-07/12/2022-41-continue the hard work&2-07/12/2022-37-continue the hard work&6-07/12/2022-41-continue the hard work&2-07/12/2022-37-continue the hard work
14,Joseph,WHITE,42,computer science,Cis157,@dUh§.xt)_hY@9?*k?hVVjM>Z}Q2d%Y/P*Kyb(P*dBpr/Nr@W4?U4gS@*.?WtA92?P.K4ZRW.PFC$uPkQCZ?dYG*v2B_?P@%tSkRvRSZd@Q2>UKsQY.3}^d4YP.QwF*QW-1-115-124-10-21-6,2-07/12/2022-97-continue the hard work&4-07/12/2022-96-continue the hard work&2-07/12/2022-97-continue the hard work&4-07/12/2022-96-continue the hard work
15,Andrew,HARRIS,54,computer science,Cis167,*dyQ%D*FbbKQ%.FZyPF.**z♫PUyFdNK4g2zvb.9tQWS+WK?FvVuh7Y%U2ru8gy4r//QwY♞.YaWttLa+n♞.*yzkdP2{♫S4F_rQVEPDdr4v>9rSQWt>DGU2qUQPS{zPnb@V-52-123-79-59-31-117,4-07/12/2022-95-continue the hard work&1-07/12/2022-72-continue the hard work&4-07/12/2022-95-continue the hard work&1-07/12/2022-72-continue the hard work
16,Ryan,MARTIN,51,computer science,Cis234,ALPFg3DFz.4a^Gyb9A2Z?!b249daFG.e4.F@kub}EPuQN/*V.E9?nQ!dS*P4$}?♫LertQ%tQU4Ud.VVw♞G*SK%{.M9.}%qQk9Ce.U!qyqRr@Z4QZASQtB>PzML2P)vrZQ-37-104-11-75-27-5,5-07/12/2022-65-continue the hard work&1-08/12/2022-23-continue the hard work&5-07/12/2022-65-continue the hard work&1-08/12/2022-23-continue the hard work
17,Brandon,THOMPSON,74,computer science,Cis235,U4U@dPjy.kQPPM}@/5S}tw)YK2♞*@RYv%ySPB§p>VPnQP>dY4Ga*4FA+?d/.+ZSnQvvS(QRpz@WQv2CU54?9StEB?kS@SSFfW$ePUb♫K$YUPU?Rd♫Ut♫Skhuk9ny{dq9Q-123-80-71-111-17-6,6-07/12/2022-46-continue the hard work&0-07/12/2022-6-continue the hard work&6-07/12/2022-46-continue the hard work&0-07/12/2022-6-continue the hard work
18,Jason,GARCIA,26,computer science,Cis236,se*2zgW$y99?VeWRr^*U{fWP4?.SBYV/Eyv9{?YPVSe/UDbWFQAZP/%ddDY_WS.4)Yf.PFA>Q(qd2nv+UR.drgr@vKd26b)vprPrPrp@*W*YS.69bWP}g%?G}F{!G!U@y-42-116-46-110-21-102,0-07/12/2022-57-continue the hard work&3-08/12/2022-26-continue the hard work&0-07/12/2022-57-continue the hard work&3-08/12/2022-26-continue the hard work
19,Justin,MARTINEZ,60,computer science,Cis237,G*}a9./f?vnV>Er%4K?vEQp//yWznv.RQ4AD♫Qf♞K♫?♞jy/}K/B%EtkW}VdedL♫KdVYSkuV%bPZsd%zstdk?4pRS.Lv4Z?VYvsEtYSUQv%q?§rDd)E4Rv}hbhg{SP.RzD-3-44-38-68-121-91,0-07/12/2022-84-continue the hard work&3-08/12/2022-55-continue the hard work&0-07/12/2022-84-continue the hard work&3-08/12/2022-55-continue the hard work
20,Sarah,ROBINSON,19,computer science,Cis245,SC/k3PRrbsWL9*KWZrf?}vFrfrp9Pe?{4§YQF?twWW@t*4tVgVVb4v26pW4QVrVq4!P2pP%YszNPdpUp}.nt!v6SSLz@g*/U♞r/.{!Q%S?Fsk?y.PFv!*QgBd@vDUvVnW-26-38-4-77-114-120,0-07/12/2022-19-continue the hard work&6-08/12/2022-95-continue the hard work&0-07/12/2022-19-continue the hard work&6-08/12/2022-95-continue the hard work
21,William,CLARK,14,computer science,Cis246,PDYFESg§C}69UBWnVNY*Kgqv%U9*.kDy@vP^EQdS/*BrrsaSbP9+Q{bMN{Y?U?gQr@6PV!BU*zPy??Q*)rSW29aPvNn?MWR?q.y_}y*UVF4vPp)bt2/KK/@t/MwzFUCR9-54-122-112-38-31-128,2-08/12/2022-69-continue the hard work&1-08/12/2022-12-continue the hard work&2-08/12/2022-69-continue the hard work&1-08/12/2022-12-continue the hard work
22,Jonathan,RODRIGUEZ,29,computer science,Cis247,z{Z%♞44Z)9d2_ds/!f9Gg?@k@.nDv.Q?WEVYbbtw(D(♞vBuY9/KYs+bYdpUD)9}bM^Uq*dv/.!BR@{fZDjWstFdDrhzr9VeP.?dhVwdwrKUrLj?*%.U♫)6t*9fMYzean}-81-103-120-69-67-109,2-07/12/2022-27-continue the hard work&0-08/12/2022-1-continue the hard work&2-07/12/2022-27-continue the hard work&0-08/12/2022-1-continue the hard work
23,Stephanie,LEWIS,51,computer science,Cis256,SPnw!nn9S%RSKB.s9b>♞tzvCMeRnsw+WQd4rBWfVW♞f?4d4YUK4@2vz..29vkvn9UQ?R§RQVb9}RyWP()ShErtGz?vYt+v♫w?uVyu.Ubk63?SD{S.e^F?Q>kPfBys@}P2-42-27-16-121-45-106,6-08/12/2022-94-continue the hard work&1-08/12/2022-97-continue the hard work&6-08/12/2022-94-continue the hard work&1-08/12/2022-97-continue the hard work
24,Brian,LEE,26,computer science,Cis257,8♞gC?Zp4+ahr4ZzDP+By)N2UrZ{d2>?UvNE}Vzrn9zeQ>b9w.@Qt?LD2?Akwe@4ePdr*npF!uVQ{ZK2%SPv.4rL{W9d2bd@S)szr(tnSUFDQ.9.6jQADKE/?e?p*VbZ%Y-11-0-63-112-39-22,0-08/12/2022-46-continue the hard work&2-08/12/2022-7-continue the hard work&0-08/12/2022-46-continue the hard work&2-08/12/2022-7-continue the hard work
25,Nicole,WALKER,37,computer science,Cis267,Vk44KC7Q@sPQ2tMb3ksndCk♫NdGPwP2y@rU9?2z^W/e)2S♞SG♞P.{*r@>6}sGBSdgvtQ/*4%UQ6QYY}bEd>%♞duV+tDQPSy?U2}vW?Vt2kFbfqY)?+neZPFb?@*Gc_}?v-109-6-63-16-124-74,0-08/12/2022-56-continue the hard work&6-08/12/2022-20-continue the hard work&0-08/12/2022-56-continue the hard work&6-08/12/2022-20-continue the hard work
26,Nicholas,HALL,50,computer science,Cis345,*b2gkravu♞v*Wkz/?4sUV4uZQ?/?2+zK/e6tv}A.*ZPzU9@v{%9@9S^ZUUGqRWvQd+d9.)ESSx}RWZsrdzAP.br@*rQ44?9YevB9@k6%vt*/FvrN>dQfD{?tFBA94t^VY-50-105-86-73-125-123,3-08/12/2022-98-continue the hard work&4-08/12/2022-98-continue the hard work&3-08/12/2022-98-continue the hard work&4-08/12/2022-98-continue the hard work
27,Anthony,ALLEN,60,computer science,Cis346,@2PbZ}kz2E@@yU.?PYg*Dd.ESb.}s4§2s?Z?/QYzUSQP}*2UQyzdPRWb9V/?PW>@F?*h%$@bvLZYW@P@d2§4K??zQ4.UKt♞kzP2YQ9w_P?S*.b♞YQ^s*4dVs>p?Q2W/@V-49-6-102-81-102-67,5-08/12/2022-61-continue the hard work&1-08/12/2022-52-continue the hard work&5-08/12/2022-61-continue the hard work&1-08/12/2022-52-continue the hard work
